title,link
PM’s Opening Remarks during Interaction with Chief Ministers on Covid-19,https://www.narendramodi.in/prime-minister-narendra-modis-opening-remarks-during-interaction-with-chief-ministers-on-covid-19
We've to take Indian economy out of 'command and control' and take it towards 'plug and play': PM,https://www.narendramodi.in/prime-minister-narendra-modi-text-of-speech-annual-plenary-session-of the-ICC-via-video-conferencing
India is committed to strengthening ties with Australia: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modi-s-opening-remarks-at-india-australia-virtual-summit
India will definitely get its growth back: PM Modi at CII Annual Session,https://www.narendramodi.in/prime-minister-narendra-modi-s-text-of-speech-at-cii-annual-session
At the root of India’s brave fight against COVID-19 is the hardwork of medical community & our Corona Warriors: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-on-the-25th-foundation-day-of-rajiv-gandhi-university-of-health-sciences
The fight against Coronavirus is being fought very strongly due to the collective efforts of everyone: PM Modi during Mann Ki Baat,https://www.narendramodi.in/prime-minister-narendra-modis-mann-ki-baat-with-the-nation-may-2020
Let us resolve to make India self-reliant: PM Modi,https://www.narendramodi.in/english-rendering-of-prime-minister-shri-narendra-modi-s-address-to-the-nation-on-12-5-2020
Buddha is an example that strong will-power can bring a change in society: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modi-s-text-of-speech-on-vesak-global-celebration-on-buddha-purnima
Intervention by the Prime Minister at Video Conference of NAM Contact Group in response to COVID-19,https://www.narendramodi.in/intervention-by-the-prime-minister-narendra-modi-at-video-conference-of-nam-contact-group-in-response-to-covid-19
Fight against Coronavirus has become people-driven: PM Modi during Mann Ki Baat,https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-the-nation-april-2020
To become self-reliant and self-sufficient is the biggest lesson learnt from Corona pandemic: PM,https://www.narendramodi.in/pm-modi-s-text-of-speech-via-video-conferencing-on-panchayati-raj-divas
Lockdown in India will be extended till 3rd May: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-to-the-nation
Let us switch off lights at home & light a lamp for 9 minutes at 9 PM on 5th April: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-to-the-nation-
"Increase social distancing, reduce emotional distancing: PM Modi during Mann Ki Baat",https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-the-nation-march-2020
"Mahabharata war took 18 days to conclude, the war against Coronavirus will take 21 days: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-interaction-with-the-people-of-varanasi-on-the-menace-of-coronavirus
"From midnight, entire country shall go under complete lockdown: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-to-the-nation-on-vital-aspects-relating-to-the-menace-of-covid-19
Urge citizens to observe 'Janta Curfew' on 22nd March: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-to-the-nation-on-combating-covid-19
"In the last few years, India and Bangladesh have written a golden chapter in bilateral ties: PM",https://www.narendramodi.in/prime-minister-narendra-modi-s-video-message-to-bangladesh-on-100th-birth-anniversary-celebrations-of-bangabandhu-sheikh-mujibur-rahman-
PM Modi interacts with beneficiaries of PM Jan Aushadi Pariyojana on Jan Aushadi Diwas,https://www.narendramodi.in/prime-minister-narendra-modi-interacts-with-beneficiaries-of-pm-jan-aushadi-pariyojana-on-jan-aushadi-diwas
